imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR
15.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.5626956294978103, 0.8266641570456911], [-0.0, -0.8266641570456911, 0.5626956294978103]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.608627310765553e-05, -6.523250029419723e-05, 0.12515864461727758]","[-0.9728901541033947, -0.0005562797807134759, -0.00025832801989112954]"
16.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.5857866948799202, 0.8104652664375317], [-0.0, -0.8104652664375317, 0.5857866948799202]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-4.749339500087669e-05, -0.00019863098176369827, 0.12550851010732997]","[-0.948012937983555, -0.004766076359661763, 0.002520187543013854]"
17.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, -0.0, 0.0], [0.0, 0.6084117075724275, 0.7936215685632559], [-0.0, -0.7936215685632559, 0.6084117075724275]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.61078301410974e-05, -8.706962438929298e-05, 0.12519278835339023]","[-0.9167824388255187, -0.0005587917043457017, -0.00024144464105497516]"
18.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.6305526670845226, 0.7761464642917568], [-0.0, -0.7761464642917568, 0.6305526670845226]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.609537197221838e-05, -5.0051538771988726e-05, 0.12516683166005993]","[-0.8931040436506499, -0.0005599998791584208, -0.00023451653604554214]"
19.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.6521919580387628, 0.7580538568397135], [-0.0, -0.7580538568397135, 0.6521919580387628]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.612872690024693e-05, -6.319928219694123e-06, 0.12521613566536482]","[-0.8621967982945358, -0.0005596174228005423, -0.00022501891756831024]"
20.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.6733123641858916, 0.7393581407101739], [-0.0, -0.7393581407101739, 0.6733123641858916]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.608589515762596e-05, -2.7326379621811273e-05, 0.12512645092120364]","[-0.8337206590876771, -0.0005591143812957161, -0.00021691102072397074]"
21.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.6938970821021089, 0.7200741902402689], [-0.0, -0.7200741902402689, 0.6938970821021089]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.612853683967233e-05, -3.082315819289758e-05, 0.12517778125114878]","[-0.804246703706774, -0.0005569111644926596, -0.00020819593335171744]"
22.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.7139297345578991, 0.7002173477671686], [-0.0, -0.7002173477671686, 0.7139297345578991]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.630917680906891e-05, -8.628187867638745e-05, 0.12545035298729765]","[-0.7739554315735999, -0.0005545920674545447, -0.0002001129720056162]"
23.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.7333943835477752, 0.6798034114216983], [-0.0, -0.6798034114216983, 0.7333943835477752]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.627918797776945e-05, -1.2183588987802927e-05, 0.1253679780556279]","[-0.7472518519648744, -0.0005522241987095286, -0.00019251213423023095]"
24.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.7522755429705794, 0.6588486225593249], [-0.0, -0.6588486225593249, 0.7522755429705794]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.633475755209806e-05, -5.664654305743478e-05, 0.12541552651151147]","[-0.7185286665079597, -0.0005469877918078158, -0.00018442697001052336]"
