imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR,isSuccess,errorT,errorR
247.png,True,"[0.0, 0.0, np.float64(2.4262626262626266)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.00041109283331597373, -0.00039190001045735215, 3.0005505418641496]","[-0.00208412896734939, -0.024585999724826748, 0.0008775731678099388]",False,0.5742881964561677,0.02468977745316036
248.png,True,"[0.0, 0.0, np.float64(2.475757575757576)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0004186626464984263, -0.0003988135193844206, 3.053666758187956]","[-0.002049463030677264, -0.024168062501075147, 0.0008783783173414888]",False,0.5779094716891091,0.02427070440342354
249.png,True,"[0.0, 0.0, np.float64(2.5252525252525255)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-7.615711714174704e-05, -0.0006725190405398304, 3.3230558271493593]","[0.06014118173398144, 0.008742155513293097, -0.0020011848738977632]",False,0.7978035889861971,0.06080618195774095
250.png,True,"[0.0, 0.0, np.float64(2.574747474747475)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-7.615711714174704e-05, -0.0006725190405398304, 3.3230558271493593]","[0.06014118173398144, 0.008742155513293097, -0.0020011848738977632]",False,0.7483086584800346,0.06080618195774095
251.png,True,"[0.0, 0.0, np.float64(2.6242424242424245)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0004382568748899139, -0.00048150819840008077, 3.369383221229027]","[-0.06634609242340544, -0.010368905458903274, -0.0016761553277542314]",False,0.7451410814423419,0.0671723728697557
252.png,True,"[0.0, 0.0, np.float64(2.673737373737374)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0004418256177899951, -0.0004853083164955475, 3.3974589936399426]","[-0.06640896381668422, -0.010379775592640045, -0.0016769192493756688]",False,0.7237219174851875,0.06723616790632973
253.png,True,"[0.0, 0.0, np.float64(2.7232323232323234)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0004506775701811333, -0.0004943901382720817, 3.464488335322233]","[-0.0665730238769574, -0.010399265950873959, -0.0016774747781263847]",False,0.7412563139638791,0.06740123264503549
254.png,True,"[0.0, 0.0, np.float64(2.7727272727272734)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.00045535909357170026, -0.0004991457288856869, 3.499647784016716]","[-0.0665994436723548, -0.010359606812022231, -0.001677495423090103]",False,0.7269208252840659,0.06742122322875302
255.png,True,"[0.0, 0.0, np.float64(2.822222222222223)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.000322837562423392, -0.0003552070688750029, 3.508644765951138]","[-0.18666183495269478, 0.1612992688279164, -0.0016850056698324073]",False,0.6864227115527486,0.24670414264141347
256.png,True,"[0.0, 0.0, np.float64(2.8717171717171723)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0003288367499740808, -0.00036152323333533325, 3.5431661679588116]","[-0.18747596236157238, 0.16301759521082315, -0.0016836808058267917]",False,0.6714491740903114,0.24844477775307217
257.png,True,"[0.0, 0.0, np.float64(2.921212121212122)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.00022237203870941418, -0.000683465422726338, 3.823923596415223]","[0.14350094027837926, 0.1401241859791561, -0.015564277194186757]",False,0.9027117613267632,0.20117046026113672
258.png,True,"[0.0, 0.0, np.float64(2.9707070707070713)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.00022237203870941418, -0.000683465422726338, 3.823923596415223]","[0.14350094027837926, 0.1401241859791561, -0.015564277194186757]",False,0.8532168284297943,0.20117046026113672
259.png,True,"[0.0, 0.0, np.float64(3.0202020202020208)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0002661452590341736, -0.000698975293968992, 3.8520807577019913]","[0.12413899058779852, 0.17651030051436628, -0.019586721282588725]",False,0.8318790737266477,0.2166795210037885
260.png,True,"[0.0, 0.0, np.float64(3.0696969696969703)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.00032049168261564874, -0.000705449452330667, 3.8841828399889424]","[0.10218230964177344, 0.2155276453504946, -0.025112316300055303]",False,0.8144862388519034,0.23984165347997805
261.png,True,"[0.0, 0.0, np.float64(3.1191919191919197)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-8.468588419060637e-05, -0.0007397630143740927, 3.9600607288935725]","[0.03635297271057133, 0.004079819422640441, -0.015820541715504132]",False,0.8408691393731196,0.039855653194859376
262.png,True,"[0.0, 0.0, np.float64(3.168686868686869)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0005613337670189729, -0.0004992399490332739, 4.112428391229949]","[0.001563605460608759, -0.058754150020368406, -0.0002637303445951609]",False,0.9437418215317448,0.058775543896650274
263.png,True,"[0.0, 0.0, np.float64(3.2181818181818187)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0005685570877233455, -0.0005054339306945066, 4.1633980829407475]","[0.0015631088234568588, -0.05861052516344442, -0.00026425866407983053]",False,0.945216570890207,0.05863196058269125
264.png,True,"[0.0, 0.0, np.float64(3.267676767676768)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.00041377279199564026, -0.00037438710400206093, 4.165696308768926]","[-0.1989027131010312, 0.1890789689939633, -0.0019614059042373797]",False,0.8980197144589845,0.27443941573304015
265.png,True,"[0.0, 0.0, np.float64(3.3171717171717177)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0004218108133390581, -0.00038198803446846117, 4.203538866360017]","[-0.2000282961145772, 0.19136550226310958, -0.0019592756876873176]",False,0.8863673318660908,0.27683192276927443
266.png,True,"[0.0, 0.0, np.float64(3.366666666666667)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.00041744069341513286, -0.0003775584782391395, 4.233873102048322]","[-0.19839957782673992, 0.18822393812257157, -0.0019615012537136435]",False,0.8672066180412215,0.2734858147169001
267.png,True,"[0.0, 0.0, np.float64(3.4161616161616166)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-0.0004259171783827518, -0.00038577708097512056, 4.227208329571377]","[-0.20048711909365338, 0.19229298736212905, -0.0019575627005618042]",False,0.8110469169919664,0.27780480550712455
