imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.23089994850186418, -0.05176956924563497, 1.1638580144196644]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.0,aruco,"[-0.23026065780185073, -0.049866381305892785, 1.194631667581324]","[-3.043302416549744, 0.03991263151161683, -0.0677414135949023]",True,"[0.0006392907000134507, 0.0019031879397421875, 0.030773653161659587]","[0.024816077000415163, -0.025308828940614373, -0.02561449652186037]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.23056667096506894, -0.0517702196910515, 1.1638640783704859]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.0666666666666666,aruco,"[-0.24342731083046731, -0.044686940396441846, 1.1932157512763288]","[3.0659523857304416, -0.07373925679852862, 0.5620149951895183]",True,"[-0.012860639865398371, 0.007083279294609654, 0.02935167290584295]","[-0.09544043748829585, -0.3423993323995285, -0.05963375101675498]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.23001120840374353, -0.05177130376674577, 1.1638741849551884]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.1333333333333333,aruco,"[-0.22987760656894746, -0.048042646882500296, 1.198845801074891]","[-3.0980557519826446, 0.044561571798573174, -0.06451001525320971]",True,"[0.00013360183479607657, 0.0037286568842454723, 0.034971616119702675]","[-0.029890161649584236, -0.022336678147185297, -0.02857006903565735]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.22923356081788798, -0.05177282147271772, 1.1638883341737718]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.2,aruco,"[-0.22860036581821006, -0.04990055396409795, 1.1945715596602369]","[-3.042410763738028, 0.03987377842747889, -0.06775682312997669]",True,"[0.0006331949996779274, 0.0018722675086197751, 0.03068322548646507]","[0.025707438081273994, -0.02533267124950435, -0.025588862099958094]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.22823372820750223, -0.05177477280896736, 1.163906526026236]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.2666666666666666,aruco,"[-0.2407724354903999, -0.044639713972711555, 1.1931786934065893]","[3.0660321255174345, -0.07371504030136034, 0.5560036155260252]",True,"[-0.01253870728289766, 0.007135058836255807, 0.02927216738035332]","[-0.09645755159116942, -0.33859729606738076, -0.059499086208811856]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.22701171057258632, -0.05177715777549474, 1.1639287605125814]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.3333333333333333,aruco,"[-0.2261091983536257, -0.04995304227684509, 1.1944779753027712]","[-3.041043498819025, 0.03981399705751078, -0.06776377939375286]",True,"[0.0009025122189606216, 0.0018241154986496505, 0.030549214790189794]","[0.027074624627707516, -0.025358316057393762, -0.025548996868558237]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.22556750791314026, -0.05177997637229981, 1.1639550376328076]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.4,aruco,"[-0.22042955242340717, -0.05090885006893307, 1.186911900654162]","[-3.018482730280137, 0.03410113598773618, 0.028920267350643715]",True,"[0.005137955489733087, 0.0008711263033667344, 0.022956863021354357]","[0.05031307576201973, 0.038072858679752755, -0.019436423202714232]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.22390112022916403, -0.05178322859938256, 1.163985357386915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.4666666666666667,aruco,"[-0.2275044057246517, -0.05012719700562868, 1.2022043412249999]","[-3.042970003607151, 0.04799272847432352, -0.17812120220575087]",True,"[-0.0036032854954876625, 0.0016560315937538747, 0.03821898383808486]","[0.020695693734182834, -0.09741124283206677, -0.033552471343445765]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.22201254752065763, -0.051786914456742994, 1.1640197197749031]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.5333333333333333,aruco,"[-0.2211240459947422, -0.05006244109762913, 1.194277985131374]","[-3.03820149750086, 0.03968949713739425, -0.06771318196556997]",True,"[0.0008885015259154361, 0.0017244733591138608, 0.030258265356470915]","[0.029917900830258998, -0.02536895075165872, -0.025464321822959532]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.21990178978762107, -0.05179103394438117, 1.1640581247967723]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.6,aruco,"[-0.23192615356309468, -0.044477207954309275, 1.1930277090541026]","[3.066077548531909, -0.0736257876106776, 0.5361701944306335]",True,"[-0.012024363775473612, 0.0073138259900718955, 0.028969584257330316]","[-0.09994591142050785, -0.32605980275317925, -0.05905264771403617]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
