imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
11.png,"[-0.2768600057496689, 0.019220784144131198, 1.2212420966743012]","[-1.5023412266317644, -1.2710611314196683, -0.059685747513746605]",0.733333333333333,apriltag,"[-0.2632428899540957, 0.010509236182730693, 1.2452123075648684]","[-1.4999582219556018, -1.2456550408506195, -0.05400307320952283]",True,"[0.013617115795573176, -0.008711547961400504, 0.02397021089056728]","[0.006476635055759034, 0.021215487677441778, -0.009656186130945942]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.2749784485005755, 0.018542651506431473, 1.2238760984452424]","[-1.487302382511883, -1.2844827755515056, -0.06000136711962708]",0.8,apriltag,"[-0.2612573918588999, 0.00992400106348101, 1.24826646359916]","[-1.4855572585783543, -1.2584986675097172, -0.054055624501963974]",True,"[0.01372105664167561, -0.008618650442950463, 0.02439036515391768]","[0.00599412970773728, 0.02173152048313131, -0.009989852771159914]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.27066202898603237, 0.01889011195904211, 1.225083221966043]","[-1.5131535247082106, -1.2704818284159678, -0.05978595618550663]",0.866666666666667,apriltag,"[-0.25702622394078667, 0.010131909907307588, 1.2494309438574227]","[-1.5111711847320068, -1.2439557618724026, -0.05348937376435727]",True,"[0.013635805045245697, -0.008758202051734523, 0.02434772189137968]","[0.0062488563824547655, 0.02213913259353262, -0.010236497452361047]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.26391774219194447, 0.02005151183702203, 1.2248150885807454]","[-1.5787188780769301, -1.228374291363057, -0.0590034764006257]",0.933333333333333,apriltag,"[-0.2507506235121453, 0.010926627254862448, 1.2491160491757427]","[-1.5731069047676396, -1.2008423381369304, -0.05195067667460168]",True,"[0.013167118679799195, -0.00912488458215958, 0.024300960594997312]","[0.00926115136823901, 0.02355018864405904, -0.009432856611035378]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.2547923044271892, 0.021494332117199366, 1.2229708661224004]","[-1.6807378093387468, -1.1565473745152273, -0.05756387476655391]",1.0,apriltag,"[-0.24399104827646104, 0.012831064165102648, 1.2529616207650973]","[-1.6767545550862595, -1.122111105826753, -0.04170911532716038]",True,"[0.010801256150728161, -0.008663267952096718, 0.02999075464269696]","[0.006657764915881917, 0.03168020027182205, -0.01134211517291404]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.24345662866045414, 0.022412304360380664, 1.2194645227655503]","[-1.8139648959105803, -1.0528206118183352, -0.05533676521281666]",1.06666666666667,apriltag,"[-0.23547969501346533, 0.013671755185584795, 1.2550410855980512]","[-1.811481612194408, -1.0137288943547422, -0.03731900438643176]",True,"[0.007976933646988815, -0.008740549174795869, 0.03557656283250088]","[0.006372641866887947, 0.03377669420463442, -0.015628493557879406]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.23030866780316084, 0.02182651533304575, 1.2143171154586367]","[-1.9713648504934516, -0.9149773582835595, -0.052172066844345756]",1.13333333333333,apriltag,"[-0.22104702384210867, 0.013087314874666234, 1.242160262130187]","[-1.955430514821129, -0.8811237102476029, -0.0375199485772666]",True,"[0.009261643961052168, -0.008739200458379514, 0.0278431466715503]","[0.01839429754119566, 0.029775363664428095, -0.011384309136202721]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.21604850141528176, 0.01875429053466282, 1.2077486993914643]","[-2.1444291789459786, -0.7413894958007655, -0.04792517571667136]",1.2,apriltag,"[-0.20817500030440927, 0.010100328177478482, 1.2365486820190303]","[-2.125176788680624, -0.7078773351172188, -0.032421546741028415]",True,"[0.007873501110872483, -0.008653962357184339, 0.028799982627566]","[0.02163304498733291, 0.028068166930186798, -0.012814856492760558]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.20167531923918702, 0.012431710246708916, 1.2002352791055917]","[-2.323636554047481, -0.5316495793992679, -0.04248389303418559]",1.26666666666667,apriltag,"[-0.19580725870339738, 0.004328678241109149, 1.2325232788643925]","[-2.30358609064459, -0.5024759334905156, -0.030076285690189847]",True,"[0.005868060535789643, -0.008103032005599767, 0.03228799975880081]","[0.022252188126825265, 0.021141174435248693, -0.013527013687731938]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.18837380516384478, 0.0025372715242615307, 1.1924976556542395]","[-2.4990666236848966, -0.28712783830197935, -0.03579431436054541]",1.33333333333333,apriltag,"[-0.1842158882929279, -0.004539536212768919, 1.2271829646179797]","[-2.476989904722698, -0.2601984616037236, -0.02406352276107733]",True,"[0.004157916870916878, -0.00707680773703045, 0.034685308963740225]","[0.023517193485274607, 0.016703133298147883, -0.014520959292140777]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
