imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
11.png,"[-0.21501371924795748, -0.05180057381049058, 1.1641470627421535]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.7333333333333333,apriltag,"[-0.21508592561084938, -0.051972114814126086, 1.1646403319521113]","[-3.0667078314374336, 0.002987379047120038, -0.026498063258198798]",True,"[-7.22063628919023e-05, -0.00017154100363550584, 0.0004932692099577363]","[0.0020846173228284094, 0.0010043735567882483, -0.0006027024726276413]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.21223640644133043, -0.05180599418896181, 1.1641975956656656]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.8,apriltag,"[-0.212303545688436, -0.053631242455405716, 1.1636487775263094]","[-3.0278074266378807, -0.006780221746003706, -0.033043414275335116]",True,"[-6.713924710557984e-05, -0.0018252482664439032, -0.0005488181393562552]","[0.04085178556430759, -0.0037897449114300554, 0.005999610152421499]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.20923690861017322, -0.051811848197710786, 1.1642521712230587]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.8666666666666667,apriltag,"[-0.21005552966891286, -0.04989985906120181, 1.1661602029694942]","[-3.114879490273873, 0.008880156230486594, -0.04704033408734193]",True,"[-0.0008186210587396436, 0.0019119891365089736, 0.0019080317464355012]","[-0.046305467043151735, -0.011739429578689306, -0.005265211586676791]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.20601522575448586, -0.051818135836737444, 1.1643107894143327]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.9333333333333332,apriltag,"[-0.20682841033236862, -0.05008666566978351, 1.1665413150748798]","[-3.110953147898609, 0.009441431628243596, -0.044278818969041116]",True,"[-0.000813184577882764, 0.0017314701669539356, 0.0022305256605470447]","[-0.04233720251185965, -0.00999247231972729, -0.005533465615181891]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.20257135787426833, -0.05182485710604179, 1.1643734502394878]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.0,apriltag,"[-0.20294442985818115, -0.05507498034297754, 1.1626662853233387]","[-2.9933639634410913, -0.011194392481888499, -0.04970219861217059]",True,"[-0.00037307198391281493, -0.0032501232369357494, -0.0017071649161490843]","[0.07502045968719946, -0.01526046015908183, 0.00888455422779876]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.19890530496952064, -0.05183201200562387, 1.1644401536985236]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.0666666666666669,apriltag,"[-0.20011315078060388, -0.04928914540669831, 1.1665097940171052]","[-3.128550484377821, 0.011921720786412536, -0.0593733778990525]",True,"[-0.0012078458110832413, 0.0025428665989255597, 0.0020696403185815893]","[-0.06017730335997643, -0.01940803460539327, -0.007592089057413023]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.19501706704024277, -0.05183960053548364, 1.1645108997914404]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.1333333333333333,apriltag,"[-0.19580201670591138, -0.04946955904851346, 1.1661533833775553]","[-3.1242635614420955, 0.008566815280887694, -0.04663597383358121]",True,"[-0.0007849496656686106, 0.0023700414869701827, 0.0016424835861148512]","[-0.05568311501530878, -0.011393069103325649, -0.005121027476506552]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.19090664408643473, -0.0518476226956211, 1.1645856885182384]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.2,apriltag,"[-0.19447236619002026, -0.04808882573547044, 1.1694627386441412]","[3.122116251471635, -0.014583813685237474, 0.12701799461730578]",True,"[-0.0035657221035855224, 0.003758796960150655, 0.004877050125902782]","[-0.08947088753120476, -0.06268435232120015, -0.011153162099205718]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.18657403610809656, -0.05185607848603624, 1.1646645198789172]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.2666666666666666,apriltag,"[-0.18665482010711915, -0.05522692058941242, 1.162011999552916]","[-2.9888293618876616, -0.009968036907942103, -0.044773760324032984]",True,"[-8.078399902258782e-05, -0.0033708421033761815, -0.002652520326001273]","[0.07964366078431324, -0.011995945286680658, 0.008236890554313484]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.18201924310522818, -0.05186496790672912, 1.1647473938734771]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.3333333333333333,apriltag,"[-0.18314912162204233, -0.0488100058871949, 1.166598604537304]","[-3.1390713252205398, 0.012650624662763931, -0.05987104911516039]",True,"[-0.0011298785168141479, 0.003054962019534223, 0.0018512106638268744]","[-0.07070418836705047, -0.01957648344870131, -0.008134252724989566]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
